mechanism_id,unit_id,predicted,actual
contradiction_detector,contradiction_detector-0,1.0,1.0
contradiction_detector,contradiction_detector-1,0.0,1.0
contradiction_detector,contradiction_detector-2,1.0,1.0
contradiction_detector,contradiction_detector-3,1.0,1.0
contradiction_detector,contradiction_detector-4,1.0,1.0
contradiction_detector,contradiction_detector-5,1.0,1.0
contradiction_detector,contradiction_detector-6,1.0,1.0
contradiction_detector,contradiction_detector-7,1.0,1.0
contradiction_detector,contradiction_detector-8,0.0,0.0
contradiction_detector,contradiction_detector-9,0.0,1.0
contradiction_detector,contradiction_detector-10,0.0,1.0
contradiction_detector,contradiction_detector-11,0.0,1.0
contradiction_detector,contradiction_detector-12,1.0,1.0
contradiction_detector,contradiction_detector-13,1.0,1.0
contradiction_detector,contradiction_detector-14,1.0,1.0
contradiction_detector,contradiction_detector-15,0.0,1.0
contradiction_detector,contradiction_detector-16,1.0,1.0
contradiction_detector,contradiction_detector-17,1.0,1.0
contradiction_detector,contradiction_detector-18,0.0,1.0
contradiction_detector,contradiction_detector-19,1.0,1.0
contradiction_detector,contradiction_detector-20,1.0,1.0
contradiction_detector,contradiction_detector-21,0.0,1.0
contradiction_detector,contradiction_detector-22,1.0,1.0
contradiction_detector,contradiction_detector-23,1.0,1.0
contradiction_detector,contradiction_detector-24,0.0,1.0
contradiction_detector,contradiction_detector-25,0.0,1.0
contradiction_detector,contradiction_detector-26,1.0,1.0
contradiction_detector,contradiction_detector-27,1.0,1.0
contradiction_detector,contradiction_detector-28,1.0,1.0
contradiction_detector,contradiction_detector-29,0.0,1.0
contradiction_detector,contradiction_detector-30,0.0,1.0
contradiction_detector,contradiction_detector-31,0.0,1.0
contradiction_detector,contradiction_detector-32,0.0,1.0
contradiction_detector,contradiction_detector-33,0.0,0.0
contradiction_detector,contradiction_detector-34,1.0,1.0
contradiction_detector,contradiction_detector-35,1.0,1.0
contradiction_detector,contradiction_detector-36,0.0,0.0
contradiction_detector,contradiction_detector-37,0.0,1.0
contradiction_detector,contradiction_detector-38,1.0,1.0
contradiction_detector,contradiction_detector-39,1.0,1.0
contradiction_detector,contradiction_detector-40,1.0,1.0
contradiction_detector,contradiction_detector-41,1.0,1.0
contradiction_detector,contradiction_detector-42,1.0,1.0
contradiction_detector,contradiction_detector-43,1.0,1.0
contradiction_detector,contradiction_detector-44,1.0,1.0
contradiction_detector,contradiction_detector-45,1.0,1.0
contradiction_detector,contradiction_detector-46,0.0,1.0
contradiction_detector,contradiction_detector-47,1.0,1.0
contradiction_detector,contradiction_detector-48,1.0,1.0
contradiction_detector,contradiction_detector-49,0.0,1.0
contradiction_detector,contradiction_detector-50,1.0,1.0
contradiction_detector,contradiction_detector-51,1.0,1.0
contradiction_detector,contradiction_detector-52,0.0,1.0
contradiction_detector,contradiction_detector-53,1.0,1.0
contradiction_detector,contradiction_detector-54,1.0,1.0
contradiction_detector,contradiction_detector-55,0.0,1.0
contradiction_detector,contradiction_detector-56,1.0,1.0
contradiction_detector,contradiction_detector-57,0.0,1.0
contradiction_detector,contradiction_detector-58,0.0,1.0
contradiction_detector,contradiction_detector-59,0.0,1.0
contradiction_detector,contradiction_detector-60,1.0,1.0
contradiction_detector,contradiction_detector-61,1.0,1.0
contradiction_detector,contradiction_detector-62,1.0,1.0
contradiction_detector,contradiction_detector-63,1.0,1.0
contradiction_detector,contradiction_detector-64,1.0,1.0
contradiction_detector,contradiction_detector-65,1.0,1.0
contradiction_detector,contradiction_detector-66,1.0,1.0
contradiction_detector,contradiction_detector-67,1.0,1.0
contradiction_detector,contradiction_detector-68,0.0,1.0
contradiction_detector,contradiction_detector-69,1.0,1.0
source_backed_alert,source_backed_alert-0,1.0,1.0
source_backed_alert,source_backed_alert-1,0.0,0.0
source_backed_alert,source_backed_alert-2,1.0,1.0
source_backed_alert,source_backed_alert-3,1.0,1.0
source_backed_alert,source_backed_alert-4,1.0,1.0
source_backed_alert,source_backed_alert-5,0.0,1.0
source_backed_alert,source_backed_alert-6,1.0,0.0
source_backed_alert,source_backed_alert-7,1.0,1.0
source_backed_alert,source_backed_alert-8,1.0,1.0
source_backed_alert,source_backed_alert-9,1.0,0.0
source_backed_alert,source_backed_alert-10,0.0,1.0
source_backed_alert,source_backed_alert-11,1.0,1.0
source_backed_alert,source_backed_alert-12,1.0,0.0
source_backed_alert,source_backed_alert-13,1.0,0.0
source_backed_alert,source_backed_alert-14,1.0,1.0
source_backed_alert,source_backed_alert-15,0.0,0.0
source_backed_alert,source_backed_alert-16,0.0,0.0
source_backed_alert,source_backed_alert-17,0.0,0.0
source_backed_alert,source_backed_alert-18,1.0,1.0
source_backed_alert,source_backed_alert-19,1.0,1.0
source_backed_alert,source_backed_alert-20,1.0,1.0
source_backed_alert,source_backed_alert-21,1.0,1.0
source_backed_alert,source_backed_alert-22,0.0,1.0
source_backed_alert,source_backed_alert-23,0.0,0.0
source_backed_alert,source_backed_alert-24,0.0,1.0
source_backed_alert,source_backed_alert-25,1.0,1.0
source_backed_alert,source_backed_alert-26,1.0,1.0
source_backed_alert,source_backed_alert-27,0.0,0.0
source_backed_alert,source_backed_alert-28,0.0,1.0
source_backed_alert,source_backed_alert-29,0.0,0.0
source_backed_alert,source_backed_alert-30,1.0,1.0
source_backed_alert,source_backed_alert-31,0.0,0.0
source_backed_alert,source_backed_alert-32,0.0,1.0
